property_id,property_name_en,property_name_zh,typology_code,typology_label,label_status,baseline_final_status,current_status,final_label_status_after_critical_review,confidence_band,confidence_score,criteria_used,criteria_evidence_summary,brief_synthesis_evidence_summary,phase1d_metadata_evidence,ftg_theme_evidence,ftg_chrono_evidence,typology_specific_rationale,why_core_or_probable_or_candidate,false_positive_check,contradictory_evidence_summary,human_anchor_used,negative_anchor_rule_used,boundary_case_rule_used,critical_review_result,critical_review_reason,review_queue_reason,non_main_signal_type,research_note,phase2b_5_user_decision_verbatim,phase2b_5_user_note,phase2b_6_previous_status,phase2b_6_rule_version,phase2b_6_change_source,phase2b_7_previous_status,phase2b_7_rule_version,phase2b_7_change_source,phase2b_7_user_decision_verbatim,phase2b_7_user_note,phase2b_8b_previous_status,phase2b_8b_rule_version,phase2b_8b_change_source,phase2b_8b_user_decision_verbatim,phase2b_8b_user_note,t13_fit_class,t13_main_fit_sensitivity,iteration_last_changed,rule_version,codebook_version,phase2b_2_rule_version,phase2b_4_previous_status,phase2b_4_rule_version,phase2b_5_previous_status,phase2b_5_rule_version,phase2b_5_change_source
21,Ancient City of Aleppo,阿勒颇古城,T07_RELIGIOUS,Religious properties,probable_label,probable_label,candidate_label,candidate_label,medium,0.67,iii; iv,"criteria iii, iv intersects with rule signals for T07_RELIGIOUS; criteria_txt=(iii)(iv)","brief-synthesis text cues: mosque | criteria signal: iii, iv",Article1=Site,"theme cues: religious, church, temple, mosque, synagogue",none_identified,"label-specific OUV proxy terms found: mosque | criteria-aware gate supported by criteria iii, iv",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_8b_user_review_adjusted,criteria-aware or OUV-aware typology-specific evidence supports this label; Phase 2B.8b user review applied: user downgraded T07 from main.,Phase 2B.8b user review applied: user downgraded T07 from main.,candidate_label,Phase 2B.8b user review applied: user downgraded T07 from main.,,,probable_label,,,probable_label,,,,,probable_label,phase2b_8b_final_review_integration_v1.0,user_reviewed_8a_packet,不保留 T07,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,,probable_label,,
21,Ancient City of Aleppo,阿勒颇古城,T09_MILITARY,Military properties,probable_label,candidate_label,candidate_label,candidate_label,medium,0.67,iv,criteria iv intersects with rule signals for T09_MILITARY; criteria_txt=(iii)(iv),brief-synthesis text cues: citadel | criteria signal: iv,Article1=Site,"theme cues: military, fortified, castle",none_identified,label-specific OUV proxy terms found: citadel | criteria-aware gate supported by criteria iv,strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,downgraded_to_candidate,property-level Phase 2B under-assignment cap: plausible but less central than stronger labels,main label downgraded by property-level cap; high-risk typology; property-level Phase 2B under-assignment cap: plausible but less central than stronger labels,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
26,Island of Gorée,戈雷岛,T04_HISTORIC_BUILDINGS_ENSEMBLES,Historic buildings and ensembles,candidate_label,candidate_label,candidate_label,candidate_label,low,0.49,,no relevant criteria signal identified for T04_HISTORIC_BUILDINGS_ENSEMBLES; criteria_txt=(vi),brief-synthesis text cues: architecture,Article1=Site,"theme cues: architecture, building, buildings, monument, monuments",none_identified,label-specific OUV proxy terms found: architecture,"secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
26,Island of Gorée,戈雷岛,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.1,,no relevant criteria signal identified for T05_SETTLEMENTS; criteria_txt=(vi),no typology-specific brief-synthesis evidence found,Article1=Site,"theme cues: settlement, urban, town",none_identified,no sufficient core typological rationale found,insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: downgrade_to_candidate,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: downgrade_to_candidate",candidate_label,,downgrade_to_candidate,仅有价值标准 vi，和聚居聚落的价值关系不紧密,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
27,Mesa Verde National Park,梅萨维德印第安遗址,T04_HISTORIC_BUILDINGS_ENSEMBLES,Historic buildings and ensembles,candidate_label,candidate_label,candidate_label,candidate_label,low,0.54,,no relevant criteria signal identified for T04_HISTORIC_BUILDINGS_ENSEMBLES; criteria_txt=(iii),"brief-synthesis text cues: villa, built",Article1=Site,"theme cues: building, buildings, monument, monuments",chrono cues: villa,"label-specific OUV proxy terms found: villa, built","secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
27,Mesa Verde National Park,梅萨维德印第安遗址,T13_SYMBOLIC_MEMORIAL,Symbolic properties and memorials,probable_label,probable_label,candidate_label,candidate_label,medium,0.57,iii,criteria iii intersects with rule signals for T13_SYMBOLIC_MEMORIAL; criteria_txt=(iii),brief-synthesis text cues: national | criteria signal: iii,Article1=Site,none_identified,"chrono cues: civilisation, cult",label-specific OUV proxy terms found: national | criteria-aware gate supported by criteria iii,strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,high-risk typology; T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,candidate_label,T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,,,candidate_label,,,candidate_label,phase2b_7_user_review_and_obvious_miss_audit_v1.0,user_reviewed_shortlist,保留为candidate,,candidate_label,,,,,political_idea_or_identity_site,medium,4,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
31,Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),前纳粹德国奥斯维辛-比克瑙集中营（1940-1945年）,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.0,,no relevant criteria signal identified for T05_SETTLEMENTS; criteria_txt=(vi),no typology-specific brief-synthesis evidence found,Article1=Monument,none_identified,none_identified,no sufficient core typological rationale found,insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: downgrade_to_candidate,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: downgrade_to_candidate",candidate_label,,downgrade_to_candidate,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
31,Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),前纳粹德国奥斯维辛-比克瑙集中营（1940-1945年）,T09_MILITARY,Military properties,candidate_label,candidate_label,candidate_label,candidate_label,low,0.54,,no relevant criteria signal identified for T09_MILITARY; criteria_txt=(vi),"brief-synthesis text cues: fortified, wall",Article1=Monument,"theme cues: military, fortified, castle",none_identified,"label-specific OUV proxy terms found: fortified, wall","secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,high-risk typology,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
31,Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),前纳粹德国奥斯维辛-比克瑙集中营（1940-1945年）,T14_MODERN,Modern heritage,candidate_label,candidate_label,candidate_label,candidate_label,low,0.47,,no relevant criteria signal identified for T14_MODERN; criteria_txt=(vi),brief-synthesis text cues: 20th century,Article1=Monument,none_identified,chrono cues: modern,label-specific OUV proxy terms found: 20th century,"secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
34,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",沃尔特大阿克拉中西部地区的要塞和城堡,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.1,,no relevant criteria signal identified for T05_SETTLEMENTS; criteria_txt=(vi),no typology-specific brief-synthesis evidence found,Article1=Groups of Buildings,"theme cues: settlement, urban, town",none_identified,no sufficient core typological rationale found,insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: 建议downgrade_to_candidate; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: 建议downgrade_to_candidate; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.",candidate_label,Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,建议downgrade_to_candidate,,candidate_label,,,candidate_label,phase2b_7_user_review_and_obvious_miss_audit_v1.0,user_reviewed_shortlist,保持为 Candidate,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
34,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",沃尔特大阿克拉中西部地区的要塞和城堡,T09_MILITARY,Military properties,candidate_label,candidate_label,candidate_label,candidate_label,low,0.54,,no relevant criteria signal identified for T09_MILITARY; criteria_txt=(vi),"brief-synthesis text cues: fortified, castle",Article1=Groups of Buildings,"theme cues: military, fortified, castle",none_identified,"label-specific OUV proxy terms found: fortified, castle","secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,high-risk typology,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
35,Asante Traditional Buildings,阿散蒂传统建筑,T01_ARCHAEOLOGICAL,Archaeological heritage,candidate_label,candidate_label,candidate_label,candidate_label,low,0.45,,no relevant criteria signal identified for T01_ARCHAEOLOGICAL; criteria_txt=(v),brief-synthesis text cues: remains,Article1=Group of Buildings,theme cues: site,none_identified,label-specific OUV proxy terms found: remains,"secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,high-risk typology,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
35,Asante Traditional Buildings,阿散蒂传统建筑,T04_HISTORIC_BUILDINGS_ENSEMBLES,Historic buildings and ensembles,candidate_label,candidate_label,candidate_label,candidate_label,low,0.54,,no relevant criteria signal identified for T04_HISTORIC_BUILDINGS_ENSEMBLES; criteria_txt=(v),"brief-synthesis text cues: building, buildings",Article1=Group of Buildings,"theme cues: building, buildings, monument, monuments",none_identified,"label-specific OUV proxy terms found: building, buildings","secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
35,Asante Traditional Buildings,阿散蒂传统建筑,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.18,v,criteria v intersects with rule signals for T05_SETTLEMENTS; criteria_txt=(v),criteria signal: v,Article1=Group of Buildings,none_identified,none_identified,criteria-aware gate supported by criteria v,insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: downgrade_to_candidate; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: downgrade_to_candidate; Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.",candidate_label,Phase 2B.7 user-reviewed shortlist decision applied: user explicitly kept current shortlist typology as candidate.,downgrade_to_candidate,,candidate_label,,,candidate_label,phase2b_7_user_review_and_obvious_miss_audit_v1.0,user_reviewed_shortlist,保持为 Candidate,价值主要在建筑特别是材料上,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
