property_id,whc_official_url,property_name_en,property_name_zh,inscription_year,region_en,states_name_en,whc_category,core_typology_codes,probable_typology_codes,candidate_typology_codes,main_typology_count,candidate_typology_count,needs_review_count,review_priority,notes
29,https://whc.unesco.org/en/list/29,Historic Centre of Kraków,克拉科夫历史中心,1978,Europe and North America,Poland,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T07_RELIGIOUS; T09_MILITARY,T01_ARCHAEOLOGICAL,4,1,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
30,https://whc.unesco.org/en/list/30,Historic Centre of Warsaw,华沙历史中心,1980,Europe and North America,Poland,C,T05_SETTLEMENTS,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS; T14_MODERN,,4,0,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
31,https://whc.unesco.org/en/list/31,Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),前纳粹德国奥斯维辛-比克瑙集中营（1940-1945年）,1979,Europe and North America,Poland,C,,T13_SYMBOLIC_MEMORIAL,T05_SETTLEMENTS; T09_MILITARY; T14_MODERN,1,3,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
32,https://whc.unesco.org/en/list/32,Wieliczka and Bochnia Royal Salt Mines,,1978,Europe and North America,Poland,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS; T08_AGRI_INDUSTRIAL_TECH,T09_MILITARY,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
34,https://whc.unesco.org/en/list/34,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",沃尔特大阿克拉中西部地区的要塞和城堡,1979,Africa,Ghana,C,T11_CULTURAL_ROUTES,T01_ARCHAEOLOGICAL,T05_SETTLEMENTS; T09_MILITARY,2,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
35,https://whc.unesco.org/en/list/35,Asante Traditional Buildings,阿散蒂传统建筑,1980,Africa,Ghana,C,,T06_VERNACULAR,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T13_SYMBOLIC_MEMORIAL,1,4,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
36,https://whc.unesco.org/en/list/36,Medina of Tunis,突尼斯的阿拉伯人聚居区,1979,Arab States,Tunisia,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T05_SETTLEMENTS; T07_RELIGIOUS; T12_BURIAL,,4,0,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
37,https://whc.unesco.org/en/list/37,Archaeological Site of Carthage,迦太基遗址,1979,Arab States,Tunisia,C,T01_ARCHAEOLOGICAL,T05_SETTLEMENTS,T13_SYMBOLIC_MEMORIAL,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
38,https://whc.unesco.org/en/list/38,Amphitheatre of El Jem,杰姆的圆形竞技场,1979,Arab States,Tunisia,C,,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
39,https://whc.unesco.org/en/list/39,Ngorongoro Conservation Area,恩戈罗恩戈罗自然保护区,1979,Africa,United Republic of Tanzania,C/N,,T01_ARCHAEOLOGICAL; T03_FOSSIL_HOMINID,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
42,https://whc.unesco.org/en/list/42,Boyana Church,博雅纳教堂,1979,Europe and North America,Bulgaria,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T07_RELIGIOUS,T05_SETTLEMENTS,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
43,https://whc.unesco.org/en/list/43,Madara Rider,马达腊骑士崖雕,1979,Europe and North America,Bulgaria,C,,T07_RELIGIOUS,T02_ROCK_ART; T13_SYMBOLIC_MEMORIAL,1,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
44,https://whc.unesco.org/en/list/44,Thracian Tomb of Kazanlak,卡赞利克的色雷斯古墓,1979,Europe and North America,Bulgaria,C,,T12_BURIAL,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS; T11_CULTURAL_ROUTES,1,3,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
45,https://whc.unesco.org/en/list/45,Rock-Hewn Churches of Ivanovo,伊凡诺沃岩洞教堂,1979,Europe and North America,Bulgaria,C,T07_RELIGIOUS,T04_HISTORIC_BUILDINGS_ENSEMBLES,T02_ROCK_ART,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
55,https://whc.unesco.org/en/list/55,Røros Mining Town and the Circumference,勒罗斯矿城及周边地区,1980,Europe and North America,Norway,C,T08_AGRI_INDUSTRIAL_TECH,T04_HISTORIC_BUILDINGS_ENSEMBLES; T06_VERNACULAR; T10_CULTURAL_LANDSCAPES_PARKS_GARDENS,,4,0,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
58,https://whc.unesco.org/en/list/58,Urnes Stave Church,奥尔内斯木构教堂,1979,Europe and North America,Norway,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T06_VERNACULAR; T07_RELIGIOUS,,3,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
59,https://whc.unesco.org/en/list/59,Bryggen,卑尔根市布吕根区,1979,Europe and North America,Norway,C,,T05_SETTLEMENTS; T06_VERNACULAR,T04_HISTORIC_BUILDINGS_ENSEMBLES,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
64,https://whc.unesco.org/en/list/64,Tikal National Park,蒂卡尔国家公园,1979,Latin America and the Caribbean,Guatemala,C/N,,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T07_RELIGIOUS; T13_SYMBOLIC_MEMORIAL,T10_CULTURAL_LANDSCAPES_PARKS_GARDENS,5,1,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
65,https://whc.unesco.org/en/list/65,Antigua Guatemala,安提瓜危地马拉,1979,Latin America and the Caribbean,Guatemala,C,,T01_ARCHAEOLOGICAL; T05_SETTLEMENTS,T04_HISTORIC_BUILDINGS_ENSEMBLES,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
78,https://whc.unesco.org/en/list/78,Independence Hall,独立大厅,1979,Europe and North America,United States of America,C,,T13_SYMBOLIC_MEMORIAL,T04_HISTORIC_BUILDINGS_ENSEMBLES,1,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
79,https://whc.unesco.org/en/list/79,Paphos,帕福斯,1980,Europe and North America,Cyprus,C,T01_ARCHAEOLOGICAL,T07_RELIGIOUS; T12_BURIAL,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T09_MILITARY,3,3,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
80,https://whc.unesco.org/en/list/80,Mont-Saint-Michel and its Bay,圣米歇尔山及其海湾,1979,Europe and North America,France,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,,T05_SETTLEMENTS; T09_MILITARY,1,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
81,https://whc.unesco.org/en/list/81,Chartres Cathedral,沙特尔大教堂,1979,Europe and North America,France,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T07_RELIGIOUS,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
83,https://whc.unesco.org/en/list/83,Palace and Park of Versailles,凡尔赛宫及其园林,1979,Europe and North America,France,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T10_CULTURAL_LANDSCAPES_PARKS_GARDENS,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
84,https://whc.unesco.org/en/list/84,"Vézelay, Church and Hill",韦兹莱教堂和山丘,1979,Europe and North America,France,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T07_RELIGIOUS,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
85,https://whc.unesco.org/en/list/85,Prehistoric Sites and Decorated Caves of the Vézère Valley,韦泽尔峡谷洞穴群与史前遗迹,1979,Europe and North America,France,C,,T01_ARCHAEOLOGICAL; T02_ROCK_ART,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
86,https://whc.unesco.org/en/list/86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,孟菲斯及其墓地金字塔,1979,Arab States,Egypt,C,T12_BURIAL,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS,T01_ARCHAEOLOGICAL,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
87,https://whc.unesco.org/en/list/87,Ancient Thebes with its Necropolis,底比斯古城及其墓地,1979,Arab States,Egypt,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS; T13_SYMBOLIC_MEMORIAL,T12_BURIAL,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
88,https://whc.unesco.org/en/list/88,Nubian Monuments from Abu Simbel to Philae,阿布辛拜勒至菲莱的努比亚遗址,1979,Arab States,Egypt,C,,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS; T13_SYMBOLIC_MEMORIAL,,4,0,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
89,https://whc.unesco.org/en/list/89,Historic Cairo,开罗古城,1979,Arab States,Egypt,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T07_RELIGIOUS,T14_MODERN,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
90,https://whc.unesco.org/en/list/90,Abu Mena,阿布米那基督教遗址,1979,Arab States,Egypt,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T05_SETTLEMENTS; T07_RELIGIOUS,T12_BURIAL,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
91,https://whc.unesco.org/en/list/91,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",罗马历史中心，享受治外法权的罗马教廷建筑和缪拉圣保罗弗利,1980,Europe and North America,"Holy See,Italy",C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T05_SETTLEMENTS; T07_RELIGIOUS; T12_BURIAL,T01_ARCHAEOLOGICAL; T09_MILITARY,4,2,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
93,https://whc.unesco.org/en/list/93,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,绘有达•芬奇《最后的晚餐》的圣玛丽亚感恩教堂和多明各会修道院,1980,Europe and North America,Italy,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T07_RELIGIOUS,T09_MILITARY,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
94,https://whc.unesco.org/en/list/94,Rock Drawings in Valcamonica,梵尔卡莫尼卡谷地岩画,1979,Europe and North America,Italy,C,,T01_ARCHAEOLOGICAL; T02_ROCK_ART,T05_SETTLEMENTS; T13_SYMBOLIC_MEMORIAL,2,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
95,https://whc.unesco.org/en/list/95,Old City of Dubrovnik,杜布罗夫尼克古城,1979,Europe and North America,Croatia,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T07_RELIGIOUS,,3,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
