edge_id,property_id,property_name_en,source_region,target_region,direction,exchange_type_refined,exchange_geography,evidence_quote,confidence,data_layer,review_status,whc_official_url
P0011,234,Churches and Convents of Goa,Southern Europe,South Asia,source_to_target,architectural_style,europe,"The monuments of Goa, “Rome of the Orient”, exerted great influence from the 16th to the 18th century on the development of architecture, sculpture and painting by spreading forms of Manueline, Mannerist and Baroque art throughout the countries of Asia where Catholic missions were established.",high,coded_conservative,coded,https://whc.unesco.org/en/list/234/
P0012,313,Historic Centre of Cordoba,West Asia,Southern Europe,source_to_target,artistic_influence,europe,"Despite its uniqueness, the mosque of Cordoba has exercised a considerable influence on western Muslim art from the 8th century.",high,coded_conservative,coded,https://whc.unesco.org/en/list/313/
P0013,393,Archaeological Site of Delphi,Transregional / Multiple,Southern Europe,multidirectional,route_network,interregional,"Even pillaging of the Sanctuary by the emperor Nero and by Constantine the Great, who transported spoils from it to Rome and Constantinople, added to the artistic influence of Delphi.",high,coded_conservative,coded,https://whc.unesco.org/en/list/393/
P0014,400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Southern Europe,Central Europe,source_to_target,artistic_influence,mediterranean,"Aquincum played an essential role in the diffusion of Roman architectural forms in Pannonia, then in Dacia.",high,coded_conservative,coded,https://whc.unesco.org/en/list/400/
P0015,412,Historic Centre of Mexico City and Xochimilco,Southern Europe,Mesoamerica,source_to_target,colonial_encounter,europe,"From the 14th to the 19th century, Tenochtitlan, and subsequently, Mexico City, exerted decisive influence on the development of architecture, the monumental arts and the use of space first in the Aztec kingdom and later in New Spain.",high,coded_conservative,coded,https://whc.unesco.org/en/list/412/
P0016,415,Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Southern Europe,Mesoamerica,source_to_target,colonial_encounter,europe,"The nearby city of Oaxaca, which is built on a grid pattern, is a good example of Spanish colonial town planning.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/415/
P0017,416,Historic Centre of Puebla,Southern Europe,Mesoamerica,source_to_target,architectural_style,europe,"Puebla’s strategic location on a major transportation corridor permitted the exportation of its regional style of Baroque architecture, a fusion of European and indigenous styles, after the 16th century.",high,coded_conservative,coded,https://whc.unesco.org/en/list/416/
P0018,420,City of Potosí,South Asia,Andean America,source_to_target,artistic_influence,asia,"The “Imperial City” of Potosí, such as it became following the visit of Francisco de Toledo in 1572, exerted lasting influence on the development of architecture and monumental arts in the central region of the Andes by spreading the forms of a baroque style incorporating Indian influences. [Patch note: Indian influences means indigenous/local in the Potosi criterion ii statement, not South Asia.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/420/
P0019,420,City of Potosí,Southern Europe,Andean America,source_to_target,architectural_style,europe,"The “Imperial City” of Potosí, such as it became following the visit of Francisco de Toledo in 1572, exerted lasting influence on the development of architecture and monumental arts in the central region of the Andes by spreading the forms of a baroque style incorporating Indian influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/420/
P0020,440,Mogao Caves,Central Asia,East Asia,source_to_target,artistic_influence,asia,"For 1,000 years, from the period of the Northern Wei Dynasty (386-534) to the Mongol-led Yuan Dynasty (1276-1386), the caves of Mogao played a decisive role in artistic exchanges between China, Central Asia and India.",high,coded_conservative,coded,https://whc.unesco.org/en/list/440/
P0021,440,Mogao Caves,South Asia,East Asia,source_to_target,artistic_influence,asia,"For 1,000 years, from the period of the Northern Wei Dynasty (386-534) to the Mongol-led Yuan Dynasty (1276-1386), the caves of Mogao played a decisive role in artistic exchanges between China, Central Asia and India.",high,coded_conservative,coded,https://whc.unesco.org/en/list/440/
P0022,455,Meteora,Southeast Europe / Balkans,Southern Europe,source_to_target,architectural_style,europe,"The frescoes executed in 1527 by Theophanes the Cretan became the basic reference of the fundamental iconographic and stylistic features of post-Byzantine painting, which exerted widespread, long-lasting influence.",high,coded_conservative,coded,https://whc.unesco.org/en/list/455/
P0023,456,Paleochristian and Byzantine Monuments of Thessalonika,Southeast Europe / Balkans,Southern Europe,source_to_target,architectural_style,europe,"The influence of the Thessalonian churches on the development of the monumental arts was considerable first in the Byzantine and later the Serbian world, whether in the Early Christian period, the Middle Byzantine era or the Palaeologan Renaissance.",high,coded_conservative,coded,https://whc.unesco.org/en/list/456/
P0024,493,Medieval City of Rhodes,Transregional / Multiple,Southern Europe,source_to_target,cultural_succession,Mediterranean,"The fortifications of Rhodes, a “Frankish” town long considered to be impregnable, exerted an influence throughout the eastern Mediterranean basin at the end of the Middle Ages.",high,coded_conservative,coded,https://whc.unesco.org/en/list/493/
P0025,511,Archaeological Site of Mystras,Southeast Europe / Balkans,Southern Europe,source_to_target,architectural_style,europe,During the late Byzantine period the radiance of the art of the Despotate seems to influence the artistic streams which are developed throughout the Greek territory – including that of the Cretan School painting – always in combination with the powerful influence exerted by the art of Constantinople.,high,coded_conservative,coded,https://whc.unesco.org/en/list/511/
P0026,532,Palaces and Parks of Potsdam and Berlin,Southern Europe,Central Europe,source_to_target,architectural_style,europe,"Potsdam-Sanssouci - frequently called the ""Prussian Versailles"" - is the crystallization of a great number of influences from Italy, England, Flanders, Paris, and Dresden.",high,coded_conservative,coded,https://whc.unesco.org/en/list/532/
P0027,532,Palaces and Parks of Potsdam and Berlin,Western Europe,Central Europe,source_to_target,colonial_encounter,europe,"Potsdam-Sanssouci - frequently called the ""Prussian Versailles"" - is the crystallization of a great number of influences from Italy, England, Flanders, Paris, and Dresden.",high,coded_conservative,coded,https://whc.unesco.org/en/list/532/
P0028,545,"Kremlin and Red Square, Moscow",Southern Europe,Eastern Europe,source_to_target,architectural_style,europe,"Throughout its history, Russian architecture has clearly been affected many times by influences emanating from the Kremlin.",high,coded_conservative,coded,https://whc.unesco.org/en/list/545/
P0029,565,Kasbah of Algiers,West Asia,North Africa,source_to_target,artistic_influence,asia,"These exchanges are illustrated in the specific character of its houses and the density of its urban stratification, a model of human settlement where the ancestral lifestyle and Muslim customs have blended with other types of traditions.",high,coded_conservative,coded,https://whc.unesco.org/en/list/565/
P0030,614,City of Safranbolu,Transregional / Multiple,West Asia,multidirectional,route_network,interregional,"By virtue of its key role in the caravan trade over many centuries, Safranbolu enjoyed great prosperity.",high,coded_conservative,coded,https://whc.unesco.org/en/list/614/
P0031,624,Town of Bamberg,Southern Europe,Central Europe,source_to_target,architectural_style,europe,The layout and architecture of medieval and baroque Bamberg exerted a strong influence on urban form and evolution in the lands of central Europe from the 11th century onwards.,high,coded_conservative,coded,https://whc.unesco.org/en/list/624/
P0032,660,Buddhist Monuments in the Horyu-ji Area,South Asia,East Asia,source_to_target,religious_transmission,asia,"These are the earliest Buddhist monuments in Japan, dating from shortly after the introduction of Buddhism to the country, and had a profound influence on subsequent religious architecture.",high,coded_conservative,coded,https://whc.unesco.org/en/list/660/
P0033,668,Angkor,East Asia,Southeast Asia,source_to_target,artistic_influence,asia,The influence of Khmer art as developed at Angkor was a profound one over much of South-east Asia and played a fundamental role in its distinctive evolution.,high,coded_conservative,coded,https://whc.unesco.org/en/list/668/
P0034,723,Cultural Landscape of Sintra,Transregional / Multiple,Southern Europe,source_to_target,cultural_succession,Mediterranean,"In the 19th century, Sintra became the first centre of European Romantic architecture where this new sensitivity was displayed in the use of Gothic, Egyptian, Moorish and Renaissance elements and in the creation of parks, blending local and exotic species of trees.",high,coded_conservative,coded,https://whc.unesco.org/en/list/723/
P0035,723,Cultural Landscape of Sintra,North Africa,Southern Europe,source_to_target,architectural_style,europe,"In the 19th century, Sintra became the first centre of European Romantic architecture where this new sensitivity was displayed in the use of Gothic, Egyptian, Moorish and Renaissance elements and in the creation of parks, blending local and exotic species of trees.",high,coded_conservative,coded,https://whc.unesco.org/en/list/723/
P0036,724,Medieval Monuments in Kosovo,Southern Europe,Southeast Europe / Balkans,source_to_target,architectural_style,europe,"Early 14th-century frescoes in the church of the Holy Virgin of Ljevisa represent the appearance of the new so-called Palaiologian Renaissance style, combining the influences of the eastern Orthodox Byzantine and the Western Romanesque traditions.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/724/
P0037,777,Monasteries of Haghpat and Sanahin,Southeast Europe / Balkans,West Asia,source_to_target,architectural_style,europe,The monasteries of Sanahin and Haghpat are unique by virtue of their blending of elements of both Byzantine church architecture and traditional vernacular building styles of this region.,high,coded_conservative,coded,https://whc.unesco.org/en/list/777/
P0038,784,Historic Centre of the City of Salzburg,Southern Europe,Central Europe,source_to_target,architectural_style,europe,"Salzburg played a crucial role in the interchange between Italian and German cultures, resulting in a flowering of the two cultures and a long-lasting exchange between them.",high,coded_conservative,coded,https://whc.unesco.org/en/list/784/
P0039,795,Maritime Greenwich,Western Europe,Transregional / Multiple,multidirectional,maritime_trade,maritime,"Maritime Greenwich bears witness to European architecture at an important stage of its evolution, exemplified by the work of great architects such as Inigo Jones and Christopher Wren who, inspired by developments on the continent of Europe, each shaped the architectural development of subsequent generations, while the Park exemplifies th…",medium,coded_conservative,coded,https://whc.unesco.org/en/list/795/
P0040,810,Historic City of Trogir,Southern Europe,Southeast Europe / Balkans,source_to_target,architectural_style,europe,"Trogir demonstrates the influence of the various cultures in the Adriatic from its original settlement – Greek, Roman, Byzantine, Hungarian and Venetian, exemplified through its town planning from the Greek period onwards, and the architecture of its buildings, whether Romanesque, Gothic, Renaissance or Baroque.",high,coded_conservative,coded,https://whc.unesco.org/en/list/810/
P0041,819,"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Western Europe,Transregional / Multiple,multidirectional,maritime_trade,maritime,It also represents a remarkable historic port town in the Caribbean in the period of Dutch expansion with significant town planning and architectural qualities.,medium,coded_conservative,coded,https://whc.unesco.org/en/list/819/
P0042,831,Archaeological Area of Agrigento,Transregional / Multiple,Southern Europe,source_to_target,cultural_succession,Mediterranean,"The archaeological area of Agrigento exhibits an important interchange of human values, being undoubtedly one of the leading cities in the Mediterranean region with its outstanding evidence of Greek influence.",high,coded_conservative,coded,https://whc.unesco.org/en/list/831/
P0043,837,Medina of Tétouan (formerly known as Titawin),West Asia,North Africa,source_to_target,artistic_influence,asia,The Medina of Tétouan bears witness to the considerable influences of Andalusian civilization towards the end of the medieval period of Muslim Occident.,high,coded_conservative,coded,https://whc.unesco.org/en/list/837/
P0044,861,Holašovice Historic Village,Southern Europe,Central Europe,source_to_target,architectural_style,europe,"Holašovice is of special significance in that it represents the fusion of two vernacular building traditions to create an exceptional and enduring style, known as South Bohemian “Folk Baroque”. [Patch note: South Bohemian Folk Baroque is likely an internal Central European vernacular/baroque fusion.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/861/
P0045,862,Historic Monuments Zone of Tlacotalpan,Mesoamerica,Transregional / Multiple,multidirectional,maritime_trade,maritime,"Tlacotalpan, a Spanish colonial river port on the Gulf coast of Mexico, was founded in the mid-16th century.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/862/
P0046,873,"Provins, Town of Medieval Fairs",Transregional / Multiple,Western Europe,source_to_target,cultural_succession,Mediterranean,"At the beginning of the 2nd millennium, Provins was one of several towns in the territory of the Counts of Champagne that became the venues for great annual trading fairs linking northern Europe with the Mediterranean world.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/873/
P0047,895,Historic Fortified Town of Campeche,Southern Europe,Mesoamerica,source_to_target,architectural_style,europe,"The harbour town of Campeche is an urbanization model of a Baroque colonial town, with its checkerboard street plan; the defensive walls surrounding its historic centre reflect the influence of the military architecture in the Caribbean.",high,coded_conservative,coded,https://whc.unesco.org/en/list/895/
P0048,945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),South Asia,Transregional / Multiple,multidirectional,maritime_trade,maritime,It became a symbol for Mumbai as a major mercantile port city on the Indian subcontinent within the British Commonwealth.,medium,coded_conservative,coded,https://whc.unesco.org/en/list/945/
P0049,948,Hoi An Ancient Town,Southeast Asia,Transregional / Multiple,multidirectional,maritime_trade,maritime,Hoi An is an outstanding material manifestation of the fusion of cultures over time in an international commercial port.,medium,coded_conservative,coded,https://whc.unesco.org/en/list/948/
P0050,949,My Son Sanctuary,South Asia,Southeast Asia,source_to_target,artistic_influence,asia,"The My Son Sanctuary is an exceptional example of cultural interchange, with an indigenous society adapting to external cultural influences, notably the Hindu art and architecture of the Indian sub-continent.",high,coded_conservative,coded,https://whc.unesco.org/en/list/949/
P0051,963,The Cathedral of St James in Šibenik,Southern Europe,Southeast Europe / Balkans,source_to_target,architectural_style,europe,"The Cathedral of St James is the fruitful outcome of considerable interchanges of influences between the three culturally different regions of Northern Italy, Dalmatia and Tuscany in the 15th and 16th centuries.",high,coded_conservative,coded,https://whc.unesco.org/en/list/963/
P0052,1027,Mining Area of the Great Copper Mountain in Falun,Central Europe,Northern Europe,source_to_target,architectural_style,europe,"Copper mining at Falun was influenced by German technology, but this was to become the major producer of copper in the 17th century and exercised a profound influence on mining technology in all parts of the world for two centuries.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1027/
P0053,1039,Yungang Grottoes,Central Asia,East Asia,source_to_target,artistic_influence,asia,"The Yungang cave art represents the successful fusion of Buddhist religious symbolic art from south and central Asia with Chinese cultural traditions, starting in the 5th century CE under Imperial auspices.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1039/
P0054,1039,Yungang Grottoes,South Asia,East Asia,source_to_target,religious_transmission,asia,"The Yungang cave art represents the successful fusion of Buddhist religious symbolic art from south and central Asia with Chinese cultural traditions, starting in the 5th century CE under Imperial auspices.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1039/
P0055,1042,Old City of Acre,West Asia,Transregional / Multiple,multidirectional,maritime_trade,maritime,Acre is an exceptional historic port-town in that it preserves the substantial remains of its medieval Crusader buildings beneath the existing Moslem fortified town dating from the 18th and 19th centuries.,medium,coded_conservative,coded,https://whc.unesco.org/en/list/1042/
P0056,1055,Lamu Old Town,South Asia,Swahili Coast,source_to_target,artistic_influence,europe,"The architecture and urban structure of Lamu graphically demonstrate the cultural influences that have come together there over several hundred years from Europe, Arabia, and India, utilizing traditional Swahili techniques to produce a distinct culture.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1055/
P0057,1058,Portuguese City of Mazagan (El Jadida),South Asia,North Africa,source_to_target,artistic_influence,europe,"The Portuguese City of Mazagan is an outstanding example of the exchange of influences between the European and Moroccan cultures from the 16th to 18th centuries, and one of the very first settlements of Portuguese explorers in West Africa on the route to India. [Patch note: Route to India does not mean India influenced Mazagan.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/1058/
P0058,1058,Portuguese City of Mazagan (El Jadida),Southern Europe,North Africa,source_to_target,colonial_encounter,maritime,"The Portuguese City of Mazagan is an outstanding example of the exchange of influences between the European and Moroccan cultures from the 16th to 18th centuries, and one of the very first settlements of Portuguese explorers in West Africa on the route to India.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1058/
P0059,1066,Upper Middle Rhine Valley,Transregional / Multiple,Central Europe,source_to_target,cultural_succession,Mediterranean,"As one of the most important transport routes in Europe, the Middle Rhine Valley has for two millennia facilitated the exchange of culture between the Mediterranean region and the north.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1066/
P0060,1067,Historic Centres of Stralsund and Wismar,Central Europe,Transregional / Multiple,multidirectional,maritime_trade,maritime,"Wismar and Stralsund, leading centers of the Wendish section of the Hanseatic League from the 13th to 15th centuries and major administrative and defense centers in the Swedish kingdom in the 17th and 18th centuries, contributed to the development and diffusion of brick construction techniques and building types, characteristic features …",medium,coded_conservative,coded,https://whc.unesco.org/en/list/1067/
P0061,1139,Tomb of Askia,West Asia,West Africa,source_to_target,artistic_influence,asia,"The Tomb of Askia reflects the way the local building traditions, in response to Islamic needs, absorbed influences from North Africa to create a unique architectural style across the West African Sahel.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1139/
P0062,395,"Piazza del Duomo, Pisa",Southern Europe,Transregional / Multiple,multidirectional,maritime_trade,maritime,"The Pisan style that first appeared with the Cathedral can be found elsewhere in Tuscany (notably at Lucca and Pistoia), but also within the Pisan maritime territory, as shown in more humble form by the ""pieve"" in Sardegna and Corsica.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/395/
P0063,1208,Bam and its Cultural Landscape,Transregional / Multiple,West Asia,multidirectional,route_network,interregional,"Bam developed at the crossroads of important trade routes at the southern side of the Iranian high plateau, and it became an outstanding example of the interaction of the various influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/1208/
P0064,623,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",Central Europe,Transregional / Multiple,source_to_target,technical_transfer,european_mining_water_management,"The historic mining network of the Mines Rammelsberg, the Historic Town of Goslar and the Upper Harz Water-Management System exhibits an important interchange of human values, in the field of mining and water management techniques, from the Middle Ages until the modern and contemporary periods in Europe. [Patch note: Rammelsberg recoded as mining and water-management technical influence.]",high,coded_conservative,patched_recode,https://whc.unesco.org/en/list/623/
P0065,836,Archaeological Site of Volubilis,Transregional / Multiple,North Africa,source_to_target,cultural_succession,Mediterranean,"These influences testify to Mediterranean, Libyan and Moor, Punic, Roman and Arab-Islamic cultures as well as African and Christian cultures.",high,coded_conservative,coded,https://whc.unesco.org/en/list/836/
P0066,836,Archaeological Site of Volubilis,West Asia,North Africa,source_to_target,artistic_influence,mediterranean,"These influences testify to Mediterranean, Libyan and Moor, Punic, Roman and Arab-Islamic cultures as well as African and Christian cultures.",high,coded_conservative,coded,https://whc.unesco.org/en/list/836/
P0067,822,Historic Centre (Old Town) of Tallinn,Northern Europe,Transregional / Multiple,multidirectional,maritime_trade,maritime,"The Historic Centre of Tallinn, among the most remote and powerful outposts of the colonizing activities of the Hanseatic League in the north-eastern part of Europe in the 13th-16th centuries, provided a crucible within which an international secular-ecclesiastical culture resulting from the interchange of Cistercians, Dominicans, the Te…",medium,coded_conservative,coded,https://whc.unesco.org/en/list/822/
P0068,81,Chartres Cathedral,Southern Europe,Western Europe,source_to_target,architectural_style,gothic_europe,Chartres Cathedral has exercised considerable influence on the development of Gothic art in France and beyond. [Patch note: Chartres recoded as Gothic architectural influence.],high,coded_conservative,patched_recode,https://whc.unesco.org/en/list/81/
P0069,81,Chartres Cathedral,Central Europe,Western Europe,source_to_target,architectural_style,gothic_europe,Chartres Cathedral has exercised considerable influence on the development of Gothic art in France and beyond. [Patch note: Chartres recoded as Gothic architectural influence.],high,coded_conservative,patched_recode,https://whc.unesco.org/en/list/81/
P0070,931,City of Graz – Historic Centre and Schloss Eggenberg,Transregional / Multiple,Central Europe,multidirectional,route_network,mediterranean,"The City of Graz – Historic Centre and Schloss Eggenberg reflects artistic and architectural movements originating from the Germanic region, the Balkans and the Mediterranean, for which it served as a crossroads for centuries.",high,coded_conservative,coded,https://whc.unesco.org/en/list/931/
P0071,726,Historic Centre of Naples,Transregional / Multiple,Southern Europe,source_to_target,cultural_succession,Mediterranean,"Naples has exerted great influence on the rest of Europe ever since the antiquity, as a major centre in Magna Graecia and of the Roman Republic.",high,coded_conservative,coded,https://whc.unesco.org/en/list/726/
P0072,811,Old Town of Lijiang,Transregional / Multiple,East Asia,multidirectional,route_network,silk_route,"From the 12th century onward, the Old Town of Lijiang was an important goods distribution center for trade between Sichuan, Yunnan and Tibet, and is where the Silk Road in the south joins the Ancient Chama (Tea and Horse) Roads.",high,coded_conservative,coded,https://whc.unesco.org/en/list/811/
P0073,316,Burgos Cathedral,Western Europe,Southern Europe,source_to_target,architectural_style,europe,"The Cathedral played an important role in the diffusion of the forms of 13th-century, French Gothic art in Spain.",high,coded_conservative,coded,https://whc.unesco.org/en/list/316/
P0074,1142,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,South Asia,East Asia,source_to_target,religious_transmission,asia,The monuments and sites that form the cultural landscape of the Kii Mountains are a unique fusion between Shintoism and Buddhism that illustrates the interchange and development of religious cultures in East Asia.,high,coded_conservative,coded,https://whc.unesco.org/en/list/1142/
P0075,527,"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",Southeast Europe / Balkans,Eastern Europe,source_to_target,architectural_style,europe,Architecture and monumental painting at the property reflect the changes of Byzantine architectural and artistic traditions that acquired a new sense under the influence of local vision.,high,coded_conservative,coded,https://whc.unesco.org/en/list/527/
P0076,18,"Rock-Hewn Churches, Lalibela",West Asia,East Africa / Horn of Africa,source_to_target,religious_transmission,holy_land_model,"The King of Lalibela set out to build a symbol of the holy land, when pilgrimages to it were rendered impossible by the historical situation. In the Church of Biet Golgotha, are replicas of the tomb of Christ, and of Adam, and the crib of the Nativity. The holy city of Lalibela became a substitute for the holy places of Jerusalem and Bethlehem, and as such has had considerable influence on Ethiopian Christianity.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/18/
P0077,119,Timbuktu,Transregional / Multiple,West Africa,source_to_target,religious_transmission,islamic_africa,The mosques and holy places of Timbuktu have played an essential role in the spread of Islam in Africa at an early period.,provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/119/
P0078,242,Ajanta Caves,South Asia,Southeast Asia,source_to_target,artistic_influence,india_java,"The style of Ajanta has exerted a considerable influence in India and elsewhere, extending, in particular, to Java.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/242/
P0079,249,Group of Monuments at Mahabalipuram,South Asia,Southeast Asia,source_to_target,artistic_influence,south_asia_southeast_asia,"The influence of the sculptures of Mahabalipuram, characterized by the softness and suppleness of their modelling, spread afar to places such as Cambodia, Annam and Java.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/249/
P0080,322,Ruins of the Buddhist Vihara at Paharpur,South Asia,Southeast Asia,source_to_target,architectural_style,south_asia_southeast_asia,"The striking architectural form introduced at Paharpur on a grand scale for the first time in Asia, profoundly influenced the subsequent construction of temples of Pagan in Myanmar and Loro-Jongrang and Chandi Sewer temples in central Java. It also continued to influence Buddhist architecture as far away as Cambodia. The craftsmanship of Paharpur terracotta still endures since the 8 th century A.D. in the whole of deltaic lands around.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/322/
P0081,361,Historic Centre of Évora,Southern Europe,Atlantic South America / Brazil,source_to_target,architectural_style,iberian_atlantic,"The cityscape of the Historic Centre of Évora is a unique place for understanding the influence exerted by Portuguese architecture in Brazil, in sites such as the Historic Centre of Salvador de Bahía.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/361/
P0082,381,Old City of Salamanca,Southern Europe,Transregional / Multiple,source_to_target,architectural_style,latin_america,"With the Plaza Mayor, the Clerecía (the Jesuit seminary), the college of Calatrava, the Colegio San Ambrosio, the churches of San Sebastián and Santa Cruz de Cañizares, the New Cathedral, and San Esteban, Salamanca is one of the essential art centres of the Churriguera family dynasty of architects, decorators and sculptors of Catalonia. The “churrigueresque” style exerted considerable influence in the 18th century not only in the Iberian Peninsula, but also in Latin America.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/381/
P0083,394,Venice and its Lagoon,Southern Europe,Southeast Europe / Balkans,source_to_target,architectural_style,adriatic_mediterranean,"The influence of Venice on the development of architecture and monumental arts is considerable; first through the Serenissima’s fondachi or trading stations, along the Dalmatian coast, in Asia Minor and in Egypt, in the islands of the Ionian Sea, the Peloponnesus, Crete, and Cyprus, where the monuments were clearly built following Venetian models. But when it began to lose its power over the seas, Venice exerted its influence in a very different manner, thanks to its great painters. Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/394/
P0084,394,Venice and its Lagoon,Southern Europe,West Asia,source_to_target,maritime_trade,eastern_mediterranean,"The influence of Venice on the development of architecture and monumental arts is considerable; first through the Serenissima’s fondachi or trading stations, along the Dalmatian coast, in Asia Minor and in Egypt, in the islands of the Ionian Sea, the Peloponnesus, Crete, and Cyprus, where the monuments were clearly built following Venetian models. But when it began to lose its power over the seas, Venice exerted its influence in a very different manner, thanks to its great painters. Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/394/
